Run ID,Name,Source Type,Source Name,User,Status,gamma,lambda_sparse,n_a,n_d,n_steps,verbose,mse_test,mse_valid
ddeb3431f39c4a4689e201c14dffd3fb,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,3,3,3,0,1897.7878028228258,1721.1668701171875
f44585e3e61146eebfba1f6b478fc657,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.001,8,8,3,0,2720.765510632615,1175.219970703125
952d8f4321c548c68ca009f5efafe795,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,3,3,3,0,3820.5775083038543,1046.4844970703125
74eea432b7a24098a22436edfb30e0fc,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,8,8,3,0,6061.758078702798,2307.761474609375
da07735d530b4bc2928357c2cf63c918,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,10,4,4,3,0,6466.457810172098,4111.1064453125
0f7e7afb39284639b762911aa83f9d08,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,16,16,3,0,7436.091229239872,3167.621826171875
d8d39b09520b4533822cfe38cc7a2854,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,1,3,3,3,0,8112.859033363648,2128.574951171875
35d69c3dfdc745298c3d35fba7536d49,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,16,16,3,0,8596.950576565725,2199.027587890625
2ce4fdc5064e48b28141bda59ae7dcca,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,1,8,8,3,0,8764.835626061551,4496.17333984375
4f22635014c14fe99b8455173c2cee02,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.001,8,8,3,0,9278.594115442307,4608.9248046875
f6aeeca5d51e44d0b4ebbd2c54477d93,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,3,3,3,0,10206.496924549616,1456.959716796875
aa58b8607d85411db6b6d0f6d3be11cf,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,10,8,8,3,0,10455.19557072599,2762.234619140625
3aef80046b8e4c00a895e56a6ee49b9b,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,8,8,3,0,10745.407894472788,4134.90283203125
6bf998d8494a436f883303c1ca50547f,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.001,16,16,3,0,10871.439976482632,4572.29736328125
b92a505a85084dbd92b73637139ec62e,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.1,8,8,3,0,10880.942724795454,5942.51708984375
81010346abf94aa58a1b2d1aa99450b0,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,4,4,1,0,11151.072947700446,3698.5849609375
f181892733d84ef6a5492767950cd5b7,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,10,4,4,1,0,11151.072947700446,3698.5849609375
07f8d82326914336a8dc061aec0ffa61,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,4,4,3,0,11740.606392216496,1785.36767578125
598d81482bfb487fb6d780847c29f489,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,8,8,3,0,12113.303891512198,6101.66455078125
3fbbacc79c544a5d9076de05d7e33b4e,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,8,8,3,0,12258.869216245495,2404.63037109375
225b46bc5812457fbeccc53b80706d3b,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,4,4,1,0,12417.318067431268,1432.907470703125
0d83bddc71bd4c07acf56a5ddb56d3ad,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,100,4,4,1,0,12417.318067431268,1432.907470703125
6d1f36cf220c4dfaa1b760e841051f9f,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.001,3,3,3,0,13290.728801109999,4831.21142578125
2518dc8ed5d34b4f8f279c9c86df220f,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,3,3,1,0,13424.25149822408,12656.0166015625
e65dfe3b162b4b949a443d6664d18456,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,10,3,3,1,0,13424.25149822408,12656.0166015625
c39764c4f0a8403fa86d3296fad38738,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.1,3,3,3,0,13928.685775480191,1714.431396484375
55567bf638154af68db8caf4e73fe0c5,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,16,16,1,0,15810.272322838846,4186.05859375
246a7b69a98c4745a2b3ec836b585823,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,10,16,16,1,0,15810.272322838846,4186.05859375
9e15d536b8404194b4d3e121daa88b96,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.001,4,4,3,0,15814.775825114755,2614.6884765625
4d1dea4ded314ec4a72ae61576249700,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,100,8,8,3,0,17665.197785012922,4053.667724609375
ee6ead9907f544bf9b2dc7c20405bfb8,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,100,4,4,3,0,18852.490353487592,12084.2724609375
